ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
22,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):,,,5,4,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial,Italy,EUR European Euro,32000.0,Yearly,Python;SQL;TypeScript,Elixir;Julia;Kotlin;Python;Rust;Scala;SQL;TypeScript,MySQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Google Cloud;OVH;VMware,Google Cloud;OVH;VMware,Angular;FastAPI;Vue.js,FastAPI;Next.js;Nuxt.js;Vue.js,NumPy;Pandas,NumPy;Pandas,Docker;Kubernetes,Docker;Kubernetes,Neovim;Sublime Text;Visual Studio Code,Neovim;Sublime Text;Visual Studio Code,Windows Subsystem for Linux (WSL),macOS,Git,Command-line;Version control hosting service web GUI,,,Confluence;Notion,Confluence,Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,4.0,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,1-2 times a week,6-10 times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,Somewhat long,None of these,Yes,No,No,Appropriate in length,Easy,34126.0
23,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,Something else,Books / Physical media,,,25,20,"Developer, back-end",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with,Canada,CAD	Canadian dollar,125000.0,Yearly,C#;SQL;TypeScript,C#;SQL,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL,Google Cloud;Microsoft Azure,,Angular;ASP.NET Core ;React.js,ASP.NET Core ,.NET,.NET,Docker;Kubernetes;npm;Terraform;Yarn,Docker,Rider;Visual Studio;Visual Studio Code,Visual Studio,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence,,Google Chat;Microsoft Teams;Slack,Slack,Very unfavorable,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,Yes,Independent contributor,23.0,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,No,No,No,Too long,Neither easy nor difficult,97605.0
24,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);Colleague;Other (please specify):",Blogs;Written Tutorials;Stack Overflow;Written-based Online Courses,,10,6,Other (please specify):,20 to 99 employees,I have a great deal of influence,Other (please specify):;Start a free trial;Research companies that have advertised on sites I visit,Netherlands,EUR European Euro,,,VBA,SQL;VBA,,,,,,,,,,,Notepad++,,macOS;Windows,Other (please specify):,I don't use one,,,,Jira Work Management,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
25,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,I don’t code outside of work,Some college/university study without earning a degree,,,,40,40,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial,Israel,ILS	Israeli new shekel,,,C#;C++;JavaScript;PHP;TypeScript,C++;JavaScript;PHP;TypeScript,,,AWS,AWS,,,,,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,I don't use one,,,,,,,,Unsure,Stack Overflow,Less than once per month or monthly,No,,"No, not at all",55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too short,Easy,
26,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Coding sessions (live or recorded),Coursera;Udemy;Codecademy;edX;Udacity,16,9,"Developer, back-end;Developer, mobile",20 to 99 employees,I have some influence,Ask developers I know/work with,Germany,EUR European Euro,85000.0,Yearly,Dart;Go;Java;Kotlin;Swift;TypeScript,C#;Dart;Java;Kotlin;Swift;TypeScript,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS;Microsoft Azure,AWS;Microsoft Azure,Express;Gatsby;Node.js,Express;Node.js,Apache Kafka;Flutter,Apache Kafka;Flutter,Kubernetes;npm;Terraform,Kubernetes;npm;Terraform,Android Studio;IntelliJ;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,macOS,macOS,Git,Code editor;Command-line,,,Confluence,,Microsoft Teams;Slack,Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,Yes,Independent contributor,9.0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Somewhat short,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,No,Yes,Appropriate in length,Neither easy nor difficult,90647.0
27,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Stack Overflow;Online forum,,10,5,"Developer, full-stack;Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial,United States of America,USD	United States dollar,106960.0,Yearly,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python,MongoDB;MySQL,MongoDB,AWS,AWS,jQuery,jQuery;React.js,,,,,Atom;IntelliJ;Vim,Atom;IntelliJ;Vim,macOS,macOS;Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,106960.0
28,I am a developer by profession,"Not employed, and not looking for work",,,Something else,"Other online resources (e.g., videos, blogs, forum)",Technical documentation;Written Tutorials;Stack Overflow;Online books;How-to videos,,4,,,,,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Israel,,,,C#;HTML/CSS;JavaScript;Rust;TypeScript,HTML/CSS;Rust;TypeScript,Microsoft SQL Server;PostgreSQL,PostgreSQL;Firebase Realtime Database,Microsoft Azure,,ASP.NET Core ;React.js,React.js,.NET,,Docker;npm;Yarn,,Visual Studio;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Asana;Jira Work Management,Asana,Microsoft Teams,Microsoft Teams,Very favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Gay or Lesbian,White;European;Middle Eastern;Ethnoreligious group,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
29,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;School (i.e., University, College, etc)",,,20,14,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","10,000 or more employees",I have little or no influence,Other (please specify):;Ask developers I know/work with,United States of America,USD	United States dollar,130000.0,Yearly,C;C++,C++,,,,,,,Qt,,,,Visual Studio,,Windows,Linux-based,Git,Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management,Jira Work Management,Microsoft Teams,,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Yes,Independent contributor,14.0,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,No,Appropriate in length,Easy,130000.0
30,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague;Other (please specify):",Technical documentation;Blogs;Stack Overflow,,27,22,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Ireland,EUR European Euro,130000.0,Monthly,C#;JavaScript;PowerShell;SQL,TypeScript,Microsoft SQL Server;MySQL;Redis,SQLite,Microsoft Azure,,ASP.NET Core ,Blazor,.NET,,npm,Docker;Kubernetes,Notepad++;Rider;Visual Studio;Visual Studio Code,,Windows;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Confluence;Jira Work Management;Trello,,Microsoft Teams;Slack,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,22.0,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Too long,Easy,1663644.0
31,None of these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Blogs;Stack Overflow;Online forum;Other (Please specify):,,24,21,"Developer, full-stack","10,000 or more employees",I have some influence,Other (please specify):,United States of America,USD	United States dollar,102000.0,Yearly,C#;HTML/CSS;JavaScript;SQL,TypeScript,Microsoft SQL Server,,Microsoft Azure,,ASP.NET,Angular;ASP.NET Core ;Blazor;Vue.js,.NET,Xamarin,,,Visual Studio,,Windows,Windows,Git,Code editor,,,,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",55-64 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,21.0,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Very long,DevOps function,No,Yes,Yes,Appropriate in length,Easy,102000.0
33,I code primarily as a hobby,"Student, full-time;Employed, part-time",Full in-person,Hobby;Contribute to open-source projects,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Online challenges (e.g., daily or weekly coding challenges);How-to videos",,3,,Student,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Canada,,,,C++;Python,Python,,,AWS;Google Cloud;OVH;VMware,Google Cloud;OVH;VMware,,,,,,,CLion;IntelliJ;Nano;Notepad++;PyCharm;Vim;Visual Studio Code,Nano;PyCharm,,Windows,Git,Code editor;Command-line,,,,,,,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Under 18 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
34,"I am not primarily a developer, but I write code sometimes as part of my work","Student, part-time;Employed, part-time",Full in-person,Hobby,Some college/university study without earning a degree,"Friend or family member;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial,,8,,Student;Academic researcher,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Israel,,,,C++;Go;Python,Go;Python,,,,,,,,,,,Visual Studio Code,Visual Studio Code,Linux-based,Linux-based,Git,Code editor;Dedicated version control GUI application,,,,,Zoom,Zoom,Very favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,"No, not really",18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Prefer to self-describe:;Queer,European;Ethnoreligious group,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
35,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs,Coursera;Udemy;Pluralsight;edX,6,5,"Developer, back-end",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with,Poland,PLN	Polish zloty,30000.0,Monthly,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS;Heroku;OVH,,Django;FastAPI;React.js,Django,NumPy;Pandas;Scikit-learn,,Docker;Kubernetes;npm,Docker;npm,IPython/Jupyter;PyCharm;Vim;Visual Studio Code,IPython/Jupyter;PyCharm;Vim,Linux-based,Linux-based;Windows,Git,Code editor,,,Notion;Trello,Trello,Google Chat;Slack;Zoom,Slack,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,6.0,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Too long,Easy,83256.0
36,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time",,,"Other doctoral degree (Ph.D., Ed.D., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Stack Overflow;Online forum,,16,,,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Israel,,,,MATLAB;Python,Python,MySQL,,,,,,NumPy;Scikit-learn;Torch/PyTorch,NumPy;Scikit-learn;Torch/PyTorch,,,IPython/Jupyter;Nano;PyCharm;Sublime Text,IPython/Jupyter;Nano;PyCharm;Sublime Text,Linux-based;macOS;Windows,macOS,Git,Code editor;Dedicated version control GUI application,,,monday.com,monday.com,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
37,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses,Udemy,12,7,"Developer, back-end;Project manager",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Canada,CAD	Canadian dollar,,,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,Bash/Shell;Go;Python,MongoDB;PostgreSQL;SQLite,,AWS;VMware,AWS;Google Cloud;Linode;Microsoft Azure,Angular;Angular.js;Django;Flask;jQuery;Node.js,Django;FastAPI;React.js,,,Ansible;Docker;npm;Terraform,Ansible;Docker;Kubernetes;Terraform,Android Studio;Eclipse;IntelliJ;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,IntelliJ;PyCharm;Vim,,Linux-based,Git,Command-line,,,Confluence;Jira Work Management;Notion;Trello,Confluence,Microsoft Teams;Slack;Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,North American,None of the above,None of the above,Yes,Independent contributor,5.0,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat short,Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,
38,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,I don’t code outside of work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Auditory material (e.g., podcasts);Coding sessions (live or recorded)",,19,14,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Israel,ILS	Israeli new shekel,,,HTML/CSS;JavaScript;PHP;Python;Ruby,HTML/CSS;JavaScript;PHP;Python;Ruby,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,CouchDB;Elasticsearch;MySQL;PostgreSQL;Redis,AWS;Heroku;Linode,AWS;Heroku;Linode,Flask;jQuery;Node.js;Nuxt.js;React.js;Ruby on Rails;Vue.js,jQuery;Node.js;Nuxt.js;Ruby on Rails;Vue.js,,,Docker;Homebrew;npm;Yarn,Docker;Flow;Homebrew;Kubernetes;Yarn,Visual Studio Code,IntelliJ;PhpStorm;PyCharm;RubyMine;Webstorm,macOS,macOS,Git;SVN,Code editor;Command-line,,,Asana;ClickUp;Jira Work Management;Trello,Jira Work Management,Google Chat;Slack;Zoom,RingCentral;Slack,Indifferent,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,35-44 years old,Man,No,Straight / Heterosexual,,,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
39,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification","Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Interactive tutorial",Other,2,,,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Slovenia,,,,HTML/CSS;JavaScript;Python;SQL,C++;Python;Ruby;SQL;TypeScript,SQLite,SQLite,,,Flask,Flask;Ruby on Rails,,,,,Visual Studio Code,Visual Studio Code,Linux-based,Linux-based,Git,Code editor;Command-line,,,,,,,Unsure,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not at all",,Prefer not to say,No,Prefer not to say,European,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
40,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses,Udemy;Codecademy,24,18,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst",2 to 9 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Czech Republic,CZK	Czech koruna,,Monthly,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL,Bash/Shell;Dart;Go;Groovy;HTML/CSS;Java;Perl;Scala;SQL,Elasticsearch;MariaDB;PostgreSQL;Redis,Elasticsearch;MariaDB;PostgreSQL;Redis,Microsoft Azure;VMware,VMware,jQuery;Node.js,Vue.js,Spring,Flutter,Ansible;Docker;Terraform,Ansible;Docker;Kubernetes;Terraform,IntelliJ;Vim;Visual Studio Code,IntelliJ;Vim,Linux-based,Linux-based,Git,Command-line,,,Jira Work Management;Trello,Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Slack,Unfavorable,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
41,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum;How-to videos,,20,15,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;Data or business analyst;Designer",100 to 499 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,USD	United States dollar,130000.0,Yearly,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,,MongoDB;MySQL;SQLite,,AWS;Managed Hosting;Microsoft Azure,,ASP.NET;ASP.NET Core ;jQuery,,.NET;Xamarin,,,,Notepad++;Visual Studio;Visual Studio Code,,,macOS;Windows,Git,Code editor,,,,,,,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,130000.0
42,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Written-based Online Courses,Coursera;Udemy;Udacity,3,3,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end",20 to 99 employees,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Israel,ILS	Israeli new shekel,19000.0,Monthly,Bash/Shell;HTML/CSS;Python;SQL,Bash/Shell;Python;SQL,PostgreSQL,PostgreSQL;Redis,AWS;Google Cloud,AWS,,,Keras;NumPy;Pandas;Scikit-learn;TensorFlow,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Hugging Face Transformers,Docker,Docker,IPython/Jupyter;Vim,IPython/Jupyter;PyCharm;Vim,Linux-based,Windows,Git,Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack,Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,I have an anxiety disorder,Yes,Independent contributor,3.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,10+ times a week,Never,30-60 minutes a day,15-30 minutes a day,Somewhat short,,,Yes,Yes,Appropriate in length,Neither easy nor difficult,68160.0
